id,imdb_id,popularity,original_title,cast,director,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,release_month,release_month_name,year_by_5,year_by_10,genre_01,genre_02,genre_03,director_01,director_02,cast_num,actor_01,actor_02,actor_03,actor_04
135397,tt0369610,32.985763,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,124.0,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238,6,June,2015-2020,2010-2020,Action,Adventure,Science Fiction,Colin Trevorrow,nan,5,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio
76341,tt1392190,28.419936,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,120.0,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031,5,May,2015-2020,2010-2020,Action,Adventure,Science Fiction,George Miller,nan,5,Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult
262500,tt2908446,13.112507,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,119.0,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628,3,March,2015-2020,2010-2020,Adventure,Science Fiction,Thriller,Robert Schwentke,nan,5,Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort
140607,tt2488496,11.173104,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,136.0,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,12,December,2015-2020,2010-2020,Action,Adventure,Science Fiction,J.J. Abrams,nan,5,Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver
168259,tt2820852,9.335014,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,137.0,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052,4,April,2015-2020,2010-2020,Action,Crime,Thriller,James Wan,nan,5,Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez
281957,tt1663202,9.1107,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156.0,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731,12,December,2015-2020,2010-2020,Western,Drama,Adventure,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,nan,5,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson
87101,tt1340138,8.654359,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,125.0,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766,6,June,2015-2020,2010-2020,Science Fiction,Action,Thriller,Alan Taylor,nan,5,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney
286217,tt3659388,7.6674,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,141.0,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152,9,September,2015-2020,2010-2020,Drama,Adventure,Science Fiction,Ridley Scott,nan,5,Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels
211672,tt2293640,7.40416499999999,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,91.0,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551,6,June,2015-2020,2010-2020,Family,Animation,Adventure,Kyle Balda,Pierre Coffin,5,Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney
150540,tt2096673,6.326804,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,94.0,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907,6,June,2015-2020,2010-2020,Comedy,Animation,Family,Pete Docter,nan,5,Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader
